,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Frmd3,3154.2,0.6592663024041344,0.4359979329724381,1.5120858438698388,0.13051202562495032,0.9999999759983075,0.8843494697667963
Jrkl,3633.5,0.10637919869328137,0.07035453389979177,1.5120446799462945,0.13052249652724207,0.9999999759983075,0.8843146279761335
BC033916,638.1,0.12261580295344193,0.08110007518235486,1.5119073894535642,0.13055742393869912,0.9999999759983075,0.8841984276791027
Dennd6a,16140.6,0.1576495439515275,0.104274064527051,1.5118768474842534,0.13056519495954833,0.9999999759983075,0.8841725784325778
G6pc,6153.9,0.12343543034344032,0.08165504463606171,1.511669375647208,0.13061799306374025,0.9999999759983075,0.8839969934281111
Clk3,3313.2,0.18785193699385513,0.1242806052399015,1.5115145008446051,0.13065741690021898,0.9999999759983075,0.8838659320720466
Rangap1,6004.5,0.11880804248247924,0.07860948155909281,1.5113703859396161,0.13069411006350848,0.9999999759983075,0.883743984145206
Pop4,3607.3,0.16904685533391287,0.1118578051633945,1.5112656205526327,0.13072078944491014,0.9999999759983075,0.8836553380260648
Fam50a,1161.6,0.14369268199781765,0.0950844648445807,1.511210924231303,0.13073471999873862,0.9999999759983075,0.8836090589273672
Slc52a2,13751.4,0.17761024048918478,0.11754083057383312,1.5110514331240763,0.13077534721103679,0.9999999759983075,0.8834741182388773
Bms1,7107.9,0.13979369882256454,0.09252946520505573,1.5108019754871158,0.13083891125772282,0.9999999759983075,0.8832630784016148
Mfrp,13371.7,0.11876946821526448,0.07864269090026652,1.5102416620749426,0.13098177150682205,0.9999999759983075,0.8827891401063717
Tram1l1,4632.4,0.15074737215811362,0.09984759641680103,1.5097746722799212,0.13110092991055317,0.9999999759983075,0.8823942278096136
Emr1,7590.2,0.18004277029164037,0.1192701842253456,1.5095371191132967,0.1311615768788059,0.9999999759983075,0.8821933707031347
Ncl,6070.4,0.08063547669643782,0.05342394550440802,1.5093508338837418,0.1312091504357959,0.9999999759983075,0.8820358765061017
Fzd8,9722.7,0.14759283631066603,0.09779644518018141,1.509184061227779,0.13125175221757152,0.9999999759983075,0.8818948900298696
Pnp2,2392.0,0.12093871775316045,0.08015798156951058,1.5087545293076778,0.13136152477308163,0.9999999759983075,0.8815318191414108
Agps,9273.7,0.4009723412482137,0.26577136916669475,1.5087115760641598,0.13137250595528807,0.9999999759983075,0.8814955157601808
Insig1,6107.9,0.11149533609119221,0.07390266099937336,1.5086782340914304,0.13138103046521318,0.9999999759983075,0.8814673361385237
Ino80d,21434.2,0.10685331234209766,0.07083327624864512,1.5085185664293133,0.13142185848582363,0.9999999759983075,0.8813323955808184
Tecpr2,17466.9,0.1536910734872361,0.10189441574479059,1.5083365694168929,0.13146840825555198,0.9999999759983075,0.8811785952245803
Gpr135,5119.9,0.15247307600392046,0.10109548764012759,1.508208522092332,0.1315011668558068,0.9999999759983075,0.881070393510423
Star,4796.2,0.1062904855766508,0.07047545182056622,1.5081916161001894,0.13150549242201454,0.9999999759983075,0.881056108172246
Trmt1l,2182.7,0.08026222821763196,0.05322663145890981,1.5079336418197578,0.1315715113901124,0.9999999759983075,0.8808381364473727
Gps2,1003.7,0.16086520948682043,0.10668876000233346,1.5077990360306188,0.13160596895716437,0.9999999759983075,0.8807244129532785
Rab23,3287.7,0.1585720202660459,0.10516944129940027,1.5077765775575167,0.13161171875431618,0.9999999759983075,0.8807054392650192
Foxj2,10034.3,0.16411056535605892,0.10885251422056538,1.5076414773803515,0.1316463110831992,0.9999999759983075,0.8805913059362405
Rraga,1427.8,0.08975532366895422,0.05953496705489244,1.5076068419790676,0.13165518059416653,0.9999999759983075,0.8805620468564896
44990,2013.7,0.16481694428857133,0.10933146988266161,1.5074977448438103,0.13168312145948222,0.9999999759983075,0.8804698873523301
Pbdc1,3291.6,0.1867993448553981,0.12391928761231656,1.507427523629758,0.13170110824428555,0.9999999759983075,0.880410570502508
Limd1,7924.5,0.11873045093644922,0.07876426826455549,1.5074151458838452,0.13170427893445388,0.9999999759983075,0.8804001150349207
Gdnf,5830.5,0.15648544628099811,0.10383215884670786,1.5070999969481969,0.13178502758883803,0.9999999759983075,0.8801339281707877
5830417I10Rik,6589.0,0.05045239564647962,0.03348396897295905,1.506762704481775,0.13187149244224428,0.9999999759983075,0.8798490787003126
Tagap,3366.0,0.08265826415135251,0.0548725887628501,1.5063671318404044,0.13197295340989634,0.9999999759983075,0.879515064160726
Stx11,10967.0,0.2139210643525715,0.14203549454787473,1.5061098990327864,0.13203896385305755,0.9999999759983075,0.879297892359487
F13b,3074.3,0.07125057343409145,0.04731549920040619,1.5058611794902037,0.1321028139662367,0.9999999759983075,0.8790879312348847
Pik3cb,5287.2,0.1125868971332186,0.07477831190084563,1.5056089696502684,0.13216758451673807,0.9999999759983075,0.878875047057184
Oaf,12070.2,0.25086861405395416,0.16662630669758174,1.5055762743950625,0.13217598285652846,0.9999999759983075,0.8788474515104826
Zc3h12b,10747.7,0.3773719225386959,0.2506851943604553,1.505361828413689,0.1322310772516458,0.9999999759983075,0.878666463967111
P2rx6,3869.9,0.1773024082187278,0.11781136577661588,1.5049686169916228,0.13233214538919094,0.9999999759983075,0.8783346465956018
Klhl31,14534.0,0.11663851082889956,0.07750793041722381,1.5048590537901931,0.1323603173556631,0.9999999759983075,0.8782422002183794
Hivep1,9086.8,0.068918516266624,0.04579828501801791,1.5048274458205184,0.13236844557062724,0.9999999759983075,0.8782155311185148
Me1,5360.5,0.13115874436518116,0.08717907134483309,1.5044751262190939,0.13245907324561793,0.9999999759983075,0.8779182878345195
Adam15,792.9,0.13729512572411187,0.09127779975385737,1.5041458722093026,0.1325438111600184,0.9999999759983075,0.8776405458773409
Nup107,6021.5,0.15535680092791473,0.10328576756731589,1.5041452911376374,0.13254396074367003,0.9999999759983075,0.8776400557502104
Dyrk2,9436.9,0.09595106565156643,0.06379969542786187,1.5039423779077132,0.1325962041229413,0.9999999759983075,0.877468908450528
Zfyve21,2402.8,0.2059336491532133,0.13693597754361558,1.503868105718391,0.13261533071724643,0.9999999759983075,0.8774062673260858
Vps11,3752.8,0.10923074927809823,0.0726340039430421,1.5038514104737284,0.13261963037526722,0.9999999759983075,0.8773921868463107
Rab39b,5831.6,0.10494074832635653,0.06979283195794743,1.503603527502465,0.1326834823330872,0.9999999759983075,0.8771831387639699
Ndufc2,667.1,0.12767885936117257,0.08492351961038676,1.5034569922082754,0.1327212394257346,0.9999999759983075,0.8770595712781208
Bcl2,9575.2,0.0988178584114356,0.0657318478032288,1.5033482507178446,0.13274926373565268,0.9999999759983075,0.8769678789578303
Txndc12,2871.3,0.15097422617606351,0.10045290019460734,1.5029354641188184,0.1328556867319934,0.9999999759983075,0.8766198513894403
Btrc,2365.8,0.1707025601117949,0.11359914746616558,1.502674658387177,0.13292296067142548,0.9999999759983075,0.8763999939886998
Retn,503.7,0.09340538042353139,0.06216723714243911,1.5024856293600224,0.13297173653984437,0.9999999759983075,0.8762406595531949
Son,2483.2,0.15795238841243067,0.10515715584194224,1.5020602939265775,0.13308153810065182,0.9999999759983075,0.8758821883805707
Fam189a1,6469.2,0.0654869269450888,0.04360823672314002,1.5017100407166704,0.13317200965418138,0.9999999759983075,0.8755870464129941
Ar,18997.2,0.12112347834408115,0.08066430800877027,1.5015746286562321,0.133206999791358,0.9999999759983075,0.8754729531620592
Csprs,5832.5,0.08466900827721228,0.05639293052829718,1.5014117458344638,0.13324909773144747,0.9999999759983075,0.8753357230261948
Smc6,7788.6,0.11297491276535129,0.07526373089957193,1.501053846454931,0.13334163491832923,0.9999999759983075,0.8750342242392849
Gm15382,857.8,0.2854979803037415,0.19025063023709332,1.500641443068806,0.1334483261302835,0.9999999759983075,0.8746868692870425
Itih4,2513.5,0.160304771690708,0.10684888865947034,1.5002942351754607,0.1335382020907195,0.9999999759983075,0.8743944752444847
Tnpo1,15532.8,0.1151587054227918,0.07677174293786455,1.5000142111661559,0.13361072138480726,0.9999999759983075,0.8741586911760506
Tmeff2,2787.5,0.09350383953038265,0.0623451243916827,1.4997778967116273,0.13367194468973576,0.9999999759983075,0.8739597336877117
Rbmx2,3006.4,0.5800857757595276,0.38688131823627586,1.4993894727303891,0.13377262301336434,0.9999999759983075,0.8736327572017799
Jmjd4,5516.4,0.05210211485557348,0.03475348714904209,1.499190991457373,0.1338240914018074,0.9999999759983075,0.8734656965753611
Prickle1,3902.7,0.061003963317570686,0.040696679485407145,1.4989911729640066,0.13387592201870047,0.9999999759983075,0.8732975251142995
Cutal,7280.2,0.11309232280990658,0.07546259637189048,1.4986540120163825,0.13396341289150449,0.9999999759983075,0.8730137967766386
Esyt2,4632.6,0.08024307831851459,0.05354549214315345,1.498596335691254,0.1339783839173263,0.9999999759983075,0.8729652650881372
Tnks,18462.3,0.1299141205783801,0.08669261969281028,1.4985603277271171,0.13398773114953766,0.9999999759983075,0.8729349668441141
Gpr85,4426.5,0.42085710573316165,0.2808624421754171,1.4984456535854964,0.1340175025315419,0.9999999759983075,0.872838479571842
SEPTIN10,5453.0,0.1336499805245758,0.08920719062378452,1.4981973940668176,0.134081972505893,0.9999999759983075,0.8726296096764803
B3gnt5,3846.6,0.6504991895077177,0.4341998708187315,1.4981561101829213,0.13409269575352514,0.9999999759983075,0.8725948782284473
Fndc4,2252.3,0.1283212636948092,0.08566062729285338,1.4980191921325678,0.13412826416469645,0.9999999759983075,0.8724796958445127
Ppat,7309.6,0.1943475104586958,0.12974306248878578,1.4979414446571586,0.13414846456074198,0.9999999759983075,0.8724142938203185
2810403A07Rik,2026.4,0.05753316987337198,0.03841316927880477,1.4977459801817772,0.1341992606519666,0.9999999759983075,0.8722498768321207
Aqp3,3090.7,0.08376491481538612,0.05594105467770657,1.497378183124742,0.13429488178674967,0.9999999759983075,0.8719405387395416
Rbpms2,3262.0,0.09592015081080842,0.06406431784522465,1.4972476729174806,0.1343288249374268,0.9999999759983075,0.8718307842931027
Zfp516,13899.1,0.10727246888413353,0.07164973422105839,1.49717888070833,0.13434671911435964,0.9999999759983075,0.8717729350211189
Fem1c,7076.1,0.11656201297077808,0.07785894962850304,1.4970920302282937,0.13436931322726864,0.9999999759983075,0.8716999025451814
Sgpp2,6268.4,0.08121965541693947,0.05425229047521854,1.4970732978368746,0.1343741868355491,0.9999999759983075,0.8716841508623842
Kcnj2,11739.4,0.09845125467827115,0.06577979471405633,1.4966792630812715,0.1344767345783418,0.9999999759983075,0.8713528451651442
Ptprb,28790.6,0.1736700096821482,0.11604426320698678,1.4965841902272674,0.13450148639451742,0.9999999759983075,0.8712729161867041
